ID,Name,Code,OEM Brand,OEM Group,POM,To (Country),To (Region),Sales Rep,Product,25Y Sales (￦0.1b),Source Lat,Source Lng,Target Lat,Target Lng,Address
82,TXX gigafactory texas,287386,,,Masan Plant,US,NA,우성령/조소영,,144.67752,35.215888,128.592968,29.963992,262.213091,"Dr (Kyle 2 - MY) 201 Logistics Dr  Kyle, TX 78640 USA, NA-US-TX-Kyle-201 Logistics"
83,TXX lathrop,287548,,,Masan Plant,US,NA,우성령/조소영,,90.8796,35.215888,128.592968,37.822738,238.723142,"Lathrop, CA 95330 USA, NA-US-CA-Lathrop-701 D'Arcy Pkwy"
84,BMW,200609,,,Masan Plant,DE,EU,강태영,,51.909,35.215888,128.592968,48.176842,11.560135,Petuelring 130 BMW Haus
85,TXX livermore atlantis,203954,,,Masan Plant,US,NA,우성령/조소영,,232.36908,35.215888,128.592968,37.681582,238.188567,"Atlantis Court Livermore, CA 94551 USA, Atlantis Court 800"
86,AILN BUSAN(CTR),300034,,,Daehap Plant,KR,KR,이근수,,184.224633,35.592007,128.44714,35.210983,128.98125,"르노삼성대로61, 부산광역시 강서구"
87,LUCID MOTORS,200693,,,Masan Plant,US,NA,조소영/장병옥,,92.40938178,35.215888,128.592968,32.864757,248.213171,"Lucid USA, Inc.(CasaGrande Whse) 1185 W Peters Rd, CASA GRANDE AZ 85122 USA"
88,TXX livermore,203953,,,Masan Plant,US,NA,우성령/조소영,,64.97676,35.215888,128.592968,44.383415,289.750905,"Discovery Dr. Livermore, CA 94551 USA, Tesla Livermore Discovery 201"
89,Ford Michigan,200080,,,Masan Plant,US,NA,안근수,,45.29324292,35.215888,128.592968,42.320414,276.781106,"330 Town Center Drive Suite 1100, Dearborn, MI"
90,DANA CORPORATION,200538,,,Masan Plant,US,NA,안근수,,14.341248,35.215888,128.592968,30.573252,262.143315,"5900 183 A Toll Road, Leander, TX"
91,CHEVROLET SALES(TH) SPO,200056,,,Yeongsan Plant,TH,AS,이상영,,0.0952035,35.447662,128.52357,13.853241,100.574919,"Phaholyothin Rd, Chatuchak, Chatuchak, Bangkok"
92,SGM (SPO),200058,,,Yeongsan Plant,CN,AS,이상영,,0.5787291,35.447662,128.52357,31.2246,121.64131,"No. 2119 Zhangyang Road, Pudong New Area, Shanghai"
93,GM SPO Davison,203939,,,Yeongsan Plant,US,NA,이상영,,2.7194159,35.447662,128.52357,43.029,276.367138,"Road Burton, MI 48509, 4134 Davison"
94,GM BRAZIL CKD,200042,,,Yeongsan Plant,BR,SA,이상영,,4.5067,35.447662,128.52357,-23.165863,314.186101,"Jardim das Flores, São José dos Campos - State of São Paulo, Brazil"
95,PT GENERAL MOTORS INDONESIA(SERV,200052,,,Yeongsan Plant,ID,AS,이상영,,0.21404,35.447662,128.52357,-6.237358,106.8204,"Jl.Sultan Iskandar Muda Kav.V, TA Pondok Indah, Jakarta Selatan"
